unique_id,iban
9c49f1d9-8a30-4d79-88b4-66d9a4a437ee,RO86RDJW2679633314982798
78084449-ce87-4b18-9846-a4f560510ea7,RO11AACB3044499259531800
f691e314-b6ef-4c45-8840-e05a251c14c4,RO66YTHO0991794145649654
9f95a829-079f-44d9-a708-6dd6f0c0932c,RO91MOCE7326952513023802
bb63bef2-8907-4dbf-9734-af7bc4b3055e,RO62ZFGW9390831837971486
18ea5068-63fa-4164-a31d-a98cec21344b,RO52DENQ2826407443334340
cc2dfdb9-02cd-4990-a224-8986782ce2f0,RO60NUEQ2538865180487433
59765bdd-fb64-4f58-b711-fd6a34157a8b,RO68UAUU6787457438042544
f4be8c13-6306-4dd8-aa33-6351e57d6adc,RO23RWPW3074040174119799
98fbb3be-b47c-4a81-8353-5340a0914b8c,RO22ILKI6516456148507655
1185c2e0-dc7e-4687-a5aa-7145414f1070,RO05UQAJ3804244881247021
8da48d3c-fa57-431d-9259-e1bd6828c5a3,RO85JZDY1136243225429292
9754bcc4-1e1f-4394-82b1-6771ca0a0fa5,RO16DYIJ6710828551295928
45d352b2-825c-4dc8-85d1-2795089ac7e1,RO05VSEX7495205249022818
e5c198d8-9762-4197-bc18-5dee9682ad57,RO75IRHQ8348720310780839
4d1f482c-eb38-45e9-a3fa-947a2b18ebb4,RO47LWNF6351066763025860
df15e89c-097d-4cbb-94ab-8edb8d9d9418,RO46JOUY5345873667256775
1174cf31-4bf0-4251-abaa-ea9a02d33bf1,RO68GAIA9517470189660040
d389c889-4c39-442f-af48-2755e79e892f,RO13JZXU4604062598330988
9ba81ccb-9308-4289-84f1-2dac5db781c0,RO77DTXM3948664799741151
eb2cdaa0-33d0-43c0-8db0-253834a1db2e,RO24DYWS3365839471551189
bc3bd469-5d48-4362-ba30-c3ab029b183f,RO53PSAG0319655490425788
6b0c6130-0ca8-4ec1-8112-c1b693b090d8,RO68RTZQ9493483110415876
6f55d3bd-be42-4d6b-8bdf-723ce0d69f46,RO59VAKQ0289257202286152
2896cdd5-1ee4-48e4-924e-ab14c6ea65d5,RO22EUAW7080145469361517
951a63be-c01d-4f58-9189-3a53260fe5a4,RO86TJCV6449032861464734
11a5c5db-60a2-4370-82d0-289f99ff1316,RO52BRNJ5792979614176739
abaabe2f-fc80-4b3b-833a-b53791bf2cec,RO61NVPV8888713968703017
00bd3a95-98ba-4d85-8554-a3e086318311,RO87IBGW7871493152061324
02b01c2c-c8e1-4f45-94c7-c4e3617c40c0,RO86IION7122354371719680
7d93f138-8e68-4000-b1df-d1f982a9f7b0,RO08MDYF4395870691774764
3b837bd2-b4ad-4e4c-8dab-b098d71f69fd,RO60KLJC4761771785068158
79ba21bd-8162-42c2-8ec5-8aaafcf00fd5,RO70FNWX6964602780441961
935aec65-9663-40b6-8135-c3881f4d5af3,RO22KPAU3251716928287923
3af586b7-b212-4926-a342-3582219aea0b,RO87XDMS0350901963082250
8c2e695b-3e6d-4988-ae1c-b3ec60ebcd8c,RO30VYDD7733302991066791
52f46005-9a94-49e7-9a05-089313b5e517,RO24DKHE6919024539300350
035e8638-27b9-451b-bf84-862427f5bc38,RO23CVAU4257497337872840
bedab971-faa7-4d1d-934b-443b38397b57,RO38VCJR9129324498603157
292bb620-39b3-45cf-81cf-f38e93721dc7,RO24PDIG2873965043104194
73749cbd-22e3-4f7a-83fa-e565d1a89be2,RO88SKCJ4397364313194754
2bf4b1c1-5e3d-4df8-8fc1-4d534b5ba8bd,RO58USPK6013243058627458
1dc75d29-4f1b-47c5-a93b-f6657cc48e94,RO67UNAU8021452481620417
70d6f626-8576-4fbb-b1f1-34a731a7c65b,RO90RILY0437400930385788
579e1f0e-53ca-4ae0-844c-871727c6659e,RO33FKPY9370749377101428
5db32443-c672-4fa7-baf4-1f54caa6ca5f,RO17AMFY3884356657584253
8a3e4a0a-1d9e-4896-9f08-1581707e0865,RO83VRTG0328303650025024
343f331a-ac58-4624-86df-f5341fa45979,RO10IZRS4101612434143365
7f8a5b3e-6590-4f78-ba4e-c5632f58eb3e,RO44RFWP4246794016011403
af519660-6dd7-4b79-b62a-9f0780e36081,RO05ABMC6720264540748290
ef6379fd-5491-4885-b84b-167362a8b687,RO27YKSQ7353729475386899
42fc2df0-818f-494e-ae43-ee2a7414eb59,RO28TEQX4828786757535799
d9815b2c-a5d2-4063-912b-1792f28659b6,RO39DRMA1970313031186962
feb566fa-6416-4b33-8581-55d9fe1c84d1,RO86GYVF6344022376478070
e4213c0f-7419-4dfb-b7b6-0a6412a47430,RO48SSOE5221619753373330
103bbf13-93e2-49c0-ad54-f6ca10241fa3,RO45SUCQ0577131050866957
b3357bbb-88cc-45d0-9eab-3489b814ffc4,RO75KQDP6272219350244441
bfdfa830-d1af-4c84-b43b-a7c0f7a99ad0,RO14PXLO8681810804175647
e3e16d52-02b0-4a92-9d1f-ba013e17ed65,RO12WYDH9382905211254998
0b4ea511-5981-4569-b6fa-6767c898b411,RO97VOYA4507029561427535
c6f9e000-8d04-4fab-81e5-6197f4a085b6,RO06MFUZ6116890755433597
4762d2b0-906c-4a52-b8c5-5199b923811e,RO17YLJA5744625874142494
cea2c18c-57f6-4379-98f8-390027787025,RO33LXYJ0833346436818583
0dfa5ce7-059c-4fd1-b3ad-9e1f606c838f,RO43SAAZ3701509140404233
adbf9a74-a1e5-4d50-8980-9f002b0aa875,RO52QYZE7021151812685762
a7f15770-c8a7-4650-8db0-b88b8b53a3fb,RO97JEID2336260631920586
bf1dbd5d-9358-424d-9a5d-6ee0b5db4851,RO54JZRY9913219659569582
14a22a3e-ca4c-4a54-8ab5-c606df9cc929,RO48SSDH2667694955913247
705f03bc-fd11-4362-81b6-c5c5d21eec68,RO11FROH8184122846165270
f699d546-64fe-434e-b6a2-d055a59cde58,RO53AXEN6034706549109256
afc02a8f-2275-4060-88df-d52cf200add5,RO35WGCY0859517966707355
7636b598-26a3-42b2-a7dc-d8c2f12033b0,RO36AKMQ5257920384549162
1f4ac891-5368-4919-b84a-f3552a29940a,RO41SDLJ3199643047852948
8f56617e-9eff-4727-a772-fac3f477a20a,RO94TVFJ2583437336643346
092f0f2a-5db3-45ee-8498-b98fab50103a,RO12RFXS0841041898410916
2de6f365-d167-41a9-a49d-e057a7668fe5,RO27AGOX1354224463868893
499bdef4-25b7-40d2-b8c1-6b81a9fa2dfe,RO42OEWN5456357581409721
632d0299-acab-4db0-8a15-fb844123f99f,RO63YXQK3311946103336575
120a409e-f738-4b8a-96bd-a2cc159a050e,RO30GOFN7803039426628473
ec1fd271-4607-40a6-a508-5f9654c46fc7,RO55OXTF7378590926529102
0117e843-a090-4ea4-b1df-61089aedb9a5,RO92AVMQ9081062030907429
5d6504f2-be1c-4029-a730-3f7dfaa7e88f,RO75ZCDN7964552451730988
85b65971-9f70-464e-8d94-5348950151d0,RO46GCKA4147634936556674
5618be86-2df6-4254-95ef-8a0c947929ab,RO74LCZX6887502302976434
42539506-62ad-4b0b-8347-6b29c31c32bd,RO42CUWQ7365861050541278
9ae45597-95f0-4d9a-b763-eb8921aedb85,RO73MYQL4412627380148204
14001963-a88d-4ed5-9cd7-d2ed42376141,RO96ULJZ8421244236355276
cdd5fef5-2f3d-45e4-a173-5904aaf085e4,RO65XBAY8734320365807734
a2f8f421-77ef-4f0e-aaff-f679245fcc70,RO92DPTQ3680816648185170
2bf36f21-4727-4937-b4cc-e033097cda79,RO30HBYK6220811202092232
